id,name,age,gender,occupation,prefecture,lat,lng,income_jpy,wfh,n_purchases_today,spend_today_jpy
310,斎藤 悦子,49,女,教員,栃木県,36.9671,140.03731,6640000,0,7,20335
311,渡辺 誠,39,男,公務員,千葉県,35.86842,140.01189,5810000,0,6,16558
312,加藤 雄太,36,男,教員,茨城県,36.30888,140.001,5540000,0,6,7043
313,鈴木 雅人_313,73,男,主婦・主夫,神奈川県,35.53821,139.7016,800000,0,2,5280
314,斎藤 和也,55,男,会社員,神奈川県,35.60767,139.58957,7640000,0,5,13844
315,井上 拓海,32,男,会社員,千葉県,35.71462,139.93038,5910000,0,6,21643
316,池田 ハル_316,50,女,主婦・主夫,東京都23区,35.67523,139.82093,1810000,0,4,9692
317,松本 杏,44,女,会社員,埼玉県,35.84431,139.67909,9380000,0,5,14007
318,林 誠,70,男,退職,東京都23区,35.7532,139.65723,3550000,0,2,2780
319,池田 克彦,76,男,主婦・主夫,神奈川県,35.57127,139.54763,1730000,0,2,2580
320,加藤 亮,22,男,大学生,群馬県,36.38575,139.04356,800000,0,2,4484
321,前田 麻衣_321,21,女,大学生,東京都市部,35.53487,139.44656,800000,0,2,11590
322,山口 智也_322,34,男,飲食店,東京都23区,35.78114,139.78721,6380000,0,6,36462
323,中村 義男,58,男,工場勤務,茨城県,36.40132,140.5351,5110000,0,5,11546
324,木村 雅人,53,男,飲食店,神奈川県,35.56176,139.53218,4880000,0,4,9785
325,山口 浩二,73,男,主婦・主夫,群馬県,36.32719,139.01998,1310000,0,2,5449
326,石川 克彦,32,男,会社員,東京都23区,35.60792,139.7249,4670000,0,3,29150
327,斎藤 義男,41,男,販売員,茨城県,36.60613,140.63994,4200000,0,5,8166
328,鈴木 京子_328,20,女,大学生,東京都23区,35.76159,139.72246,800000,0,2,3075
329,斎藤 節子,36,女,公務員,東京都市部,35.6716,139.54222,6510000,0,6,25603
330,山口 湊_330,31,男,販売員,茨城県,36.07795,140.2157,3890000,0,5,38826
331,佐々木 亮,38,男,会社員,埼玉県,35.79969,139.73687,3960000,0,5,13080
332,山口 杏,76,女,工場勤務,千葉県,35.8367,139.89105,3310000,0,2,5197
333,山口 結衣,26,女,主婦・主夫,茨城県,36.36769,140.45399,970000,0,2,10090
334,石川 義男,71,男,退職,東京都23区,35.65546,139.8172,2530000,0,2,3848
335,佐々木 颯太_335,51,男,会社員,東京都23区,35.73463,139.6767,6830000,0,5,9897
336,森 由美_336,22,女,大学生,神奈川県,35.63609,139.59057,800000,0,2,5990
337,山崎 拓海,41,男,会社員,神奈川県,35.25577,139.14653,6810000,0,5,41427
338,前田 義男,55,男,経営者・役員,埼玉県,35.97421,139.76165,17390000,0,5,53730
339,森 達也,56,男,会社員,栃木県,36.5877,139.76818,4640000,0,5,9362
340,田中 麻衣,34,女,工場勤務,千葉県,35.71565,140.08464,3250000,0,5,35190
341,後藤 千尋,18,女,大学生,神奈川県,35.58218,139.62674,840000,0,2,12625
342,吉田 美咲,65,女,主婦・主夫,群馬県,36.48809,138.97777,1390000,0,2,5628
343,佐々木 葵,72,女,退職,東京都市部,35.68851,139.39377,1870000,0,2,1468
344,山口 正樹,28,男,会社員,千葉県,35.62188,140.12094,3970000,0,5,17980
345,藤田 雅人,58,男,会社員,神奈川県,35.39884,139.52631,5000000,0,5,12315
346,長谷川 節子,34,女,飲食店,千葉県,35.71106,139.96542,3250000,0,5,18837
347,高橋 節子,65,女,工場勤務,埼玉県,35.87157,139.6314,3200000,0,2,5681
348,山本 義男,56,男,主婦・主夫,埼玉県,35.80547,139.70403,980000,0,2,2680
349,小林 雅人,29,男,教員,東京都23区,35.75852,139.74533,3630000,0,5,34301
350,前田 大翔,76,男,パート,神奈川県,35.54103,139.43396,1440000,0,2,5235
351,林 節子,65,女,退職,茨城県,36.16507,139.73912,2790000,0,1,1000
352,山口 浩二_352,42,男,工場勤務,東京都23区,35.7297,139.71345,7130000,0,7,40141
353,森 智也_353,60,男,会社員,千葉県,35.8423,139.9717,4430000,0,2,3518
354,井上 美穂,39,女,会社員,栃木県,36.72153,139.70432,4030000,0,5,14653
355,吉田 麻衣_355,23,女,会社員,東京都市部,35.62686,139.42915,2170000,0,4,6778
356,森 雄太,46,男,経営者・役員,東京都23区,35.66474,139.69016,22090000,0,6,22914
357,橋本 杏_357,72,女,パート,群馬県,36.33501,138.89784,1550000,0,2,3677
358,小林 義男,37,男,販売員,東京都市部,35.66698,139.30079,4500000,0,5,26958
359,中村 拓海,56,男,会社員,東京都市部,35.71915,139.5682,5260000,0,3,12766
360,森 翔,35,男,会社員,東京都市部,35.78035,139.26561,4160000,0,5,16877
361,吉田 麻衣_361,50,女,会社員,千葉県,35.61583,140.0827,4250000,0,5,20346
362,渡辺 麻衣,78,女,パート,栃木県,36.56446,139.85935,910000,0,2,5980
363,小林 麻衣,63,女,公務員,埼玉県,35.86342,139.64465,2520000,0,2,3480
364,池田 節子,74,女,工場勤務,東京都23区,35.76162,139.80388,3470000,0,2,8177
365,中村 由美,35,女,パート,千葉県,35.86968,139.91431,1830000,0,4,29090
366,山本 凛,71,女,退職,埼玉県,35.7756,139.61044,2320000,0,2,6919
367,橋本 由美,40,女,主婦・主夫,埼玉県,35.90814,139.63351,2520000,0,4,15777
368,渡辺 智子_368,39,女,ITエンジニア,東京都23区,35.57424,139.69322,10150000,1,6,20681
369,山口 美咲,25,女,会社員,東京都23区,35.54665,139.73697,4050000,0,5,31992
370,橋本 彩,35,女,主婦・主夫,東京都23区,35.70822,139.78117,2510000,0,4,7257
371,高橋 大翔,26,男,教員,神奈川県,35.58795,139.62144,4450000,0,5,48471
372,佐藤 義男,41,男,会社員,栃木県,36.5394,139.88551,8960000,0,6,13388
373,田中 美咲,22,女,大学生,千葉県,35.7863,139.91523,800000,0,2,5459
374,伊藤 杏_374,52,女,販売員,東京都23区,35.69644,139.8433,3250000,0,5,8642
375,山崎 蓮,47,男,会社員,埼玉県,35.86102,139.41411,6500000,0,6,33782
376,石川 美咲_376,37,女,主婦・主夫,神奈川県,35.34139,139.63515,1150000,0,2,6848
377,山田 ハル_377,36,女,ITエンジニア,千葉県,35.70644,139.97933,6080000,1,6,11616
378,伊藤 麻衣_378,55,女,飲食店,東京都23区,35.73574,139.64288,4400000,0,5,15789
379,高橋 莉子_379,56,女,主婦・主夫,神奈川県,35.33906,139.63478,2310000,0,4,15967
380,松本 颯太,64,男,デザイナー,神奈川県,35.51328,139.6105,3440000,1,3,4704
381,前田 翼,77,男,退職,東京都23区,35.6264,139.64513,2720000,0,2,3110
382,石川 誠,31,男,会社員,茨城県,36.19676,139.7506,4160000,0,5,59514
383,長谷川 美咲,24,女,会社員,千葉県,35.50738,140.12958,2020000,0,4,5460
384,佐藤 智子,77,女,退職,東京都23区,35.75526,139.71198,3500000,0,2,3365
385,池田 ハル_385,54,女,公務員,栃木県,36.37254,139.74289,4630000,0,4,28733
386,田中 智子,29,女,会社員,東京都23区,35.56574,139.70852,2480000,0,4,15530
387,吉田 拓海,74,男,パート,栃木県,36.5877,139.74549,1460000,0,2,2770
388,藤田 雅人_388,76,男,退職,栃木県,36.34002,139.44482,2590000,0,2,14044
389,前田 美穂,50,女,会社員,千葉県,35.94349,139.86054,5480000,0,4,8181
390,山崎 陽翔,49,男,会社員,東京都23区,35.78179,139.81149,5440000,0,6,14961
391,渡辺 桜_391,71,女,パート,神奈川県,35.52518,139.70087,2670000,0,2,2990
392,佐々木 颯太_392,45,男,教員,神奈川県,35.6348,139.57504,5410000,0,5,17716
393,木村 翼_393,59,男,会社員,東京都市部,35.64311,139.43481,4270000,0,5,14166
394,小林 義男_394,27,男,会社員,神奈川県,35.33021,139.422,4700000,0,4,16877
395,松本 誠_395,68,男,工場勤務,東京都23区,35.63565,139.64375,2400000,0,2,6124
396,田中 智子_396,68,女,工場勤務,埼玉県,35.93819,139.61687,3140000,0,2,4130
397,佐々木 彩,62,女,飲食店,東京都23区,35.77111,139.71756,1930000,0,2,3980
398,藤田 芽依,77,女,退職,神奈川県,35.42488,139.48965,2200000,0,2,10699
399,松本 ハル,26,女,主婦・主夫,神奈川県,35.41865,139.52405,1140000,0,2,10335
400,木村 彩花,25,女,会社員,東京都23区,35.73213,139.77429,4190000,0,5,23140
401,池田 心春,53,女,会社員,東京都23区,35.61299,139.73402,5930000,0,6,32494
402,松本 湊,59,男,会社員,埼玉県,35.9977,139.6044,6840000,0,6,17364
403,橋本 拓海_403,45,男,会社員,東京都23区,35.7555,139.78949,8610000,0,6,17398
404,井上 陽菜,64,女,主婦・主夫,東京都23区,35.74374,139.70916,1660000,0,2,4990
405,藤田 ハル,58,女,主婦・主夫,東京都23区,35.73818,139.85605,1460000,0,2,6080
406,佐藤 彩花_406,26,女,会社員,神奈川県,35.50547,139.61704,3040000,0,5,32497
407,小林 麻衣_407,61,女,会社員,埼玉県,35.9103,139.64183,3800000,0,2,3775
408,池田 翼_408,41,男,会社員,神奈川県,35.33568,139.63195,3750000,0,5,15631
409,藤田 結愛,36,女,公務員,埼玉県,35.79419,139.58914,5060000,0,5,28648
410,加藤 杏,71,女,退職,東京都23区,35.70731,139.80056,2140000,0,2,2416
411,山口 湊_411,49,男,会社員,東京都23区,35.66482,139.65089,5030000,0,5,11135
412,加藤 結愛,35,女,販売員,千葉県,35.64464,140.07906,2760000,0,4,7573
413,森 誠,44,男,フリーランス,神奈川県,35.62152,139.58752,5570000,1,7,26655
414,田中 理恵_414,34,女,販売員,群馬県,36.32833,138.99427,3840000,0,5,36500
415,渡辺 綾,63,女,会社員,東京都23区,35.6585,139.73245,7290000,0,2,4834
416,長谷川 孝雄,66,男,飲食店,東京都23区,35.70948,139.8221,3190000,0,2,6019
417,佐々木 心春,48,女,飲食店,東京都23区,35.71717,139.67215,3100000,0,5,11646
418,林 孝雄,39,男,飲食店,栃木県,36.56664,139.89431,4530000,0,5,15167
419,加藤 芽依,40,女,工場勤務,埼玉県,35.8881,139.61928,3810000,0,5,9744
420,中村 大翔,50,男,会社員,神奈川県,35.51861,139.63294,7330000,0,5,11357
421,林 悠人,18,男,大学生,東京都23区,35.557,139.70857,800000,0,2,4760
422,加藤 杏_422,59,女,会社員,東京都市部,35.65039,139.55449,4600000,0,5,27343
423,山口 智也_423,67,男,主婦・主夫,茨城県,36.36331,140.48729,1440000,0,2,5980
424,加藤 智也,79,男,飲食店,茨城県,35.96392,140.15986,2620000,0,2,2495
425,斎藤 正樹,67,男,工場勤務,神奈川県,35.393,139.5407,1570000,0,2,3096
426,伊藤 湊,66,男,退職,埼玉県,35.79152,139.59767,3780000,0,2,2855
427,斎藤 智子,74,女,飲食店,茨城県,36.18777,140.28629,3080000,0,2,19357
428,木村 貴志,75,男,パート,東京都23区,35.7393,139.84962,1260000,0,2,2042
429,藤田 悦子,79,女,退職,神奈川県,35.50464,139.65646,1400000,0,2,3180
430,石川 亮,38,男,会社員,埼玉県,35.89031,139.77813,2460000,0,4,14028
431,高橋 美咲,73,女,パート,東京都23区,35.71153,139.79521,1740000,0,3,11086
432,渡辺 杏,42,女,工場勤務,千葉県,35.72169,139.91972,4910000,0,5,18248
433,石川 結衣,49,女,会社員,千葉県,35.69156,139.98276,4700000,0,5,16733
434,山本 智也,37,男,会社員,茨城県,36.60993,140.676,4570000,0,5,11770
435,小林 孝雄,34,男,公務員,東京都23区,35.66021,139.64391,5320000,0,6,46112
436,山崎 綾_436,49,女,会社員,東京都23区,35.68857,139.74815,4330000,0,5,55254
437,山崎 智子_437,30,女,主婦・主夫,千葉県,35.61725,140.12959,2340000,0,4,26424
438,森 葵_438,42,女,会社員,茨城県,35.9977,140.13037,6400000,0,5,20320
439,加藤 雄太_439,33,男,工場勤務,東京都23区,35.55282,139.72417,2970000,0,4,16770
440,藤田 節子,50,女,会社員,東京都市部,35.68048,139.47824,3610000,0,4,12994
441,渡辺 孝雄,64,男,会社員,神奈川県,35.5589,139.54603,3560000,0,2,2418
442,斎藤 達也_442,51,男,販売員,茨城県,35.98963,140.12415,2260000,0,4,9065
443,高橋 葵,62,女,フリーランス,神奈川県,35.62137,139.51511,2500000,1,3,3398
444,池田 桜,69,女,退職,東京都23区,35.57818,139.7124,2280000,0,2,3384
445,木村 達也,25,男,会社員,東京都23区,35.66565,139.77124,2540000,0,4,15975
446,長谷川 杏,37,女,公務員,神奈川県,35.50903,139.52747,4990000,0,5,12659
447,加藤 亮_447,36,男,会社員,神奈川県,35.4981,139.6093,5230000,0,6,56980
448,森 達也_448,31,男,会社員,埼玉県,35.9884,139.58344,7360000,0,7,43486
449,木村 凛,72,女,退職,埼玉県,35.9339,139.67699,2820000,0,2,3304
450,山本 美穂,47,女,飲食店,東京都23区,35.65005,139.63583,3110000,0,4,7480
451,清水 綾_451,45,女,会社員,東京都市部,35.56084,139.45084,4800000,0,4,5967
452,佐藤 由美_452,61,女,会社員,東京都23区,35.76216,139.73902,2310000,0,2,2532
453,佐藤 誠,65,男,退職,神奈川県,35.34855,139.49654,1900000,0,1,1071
454,岡田 悠人,25,男,販売員,千葉県,35.69106,139.97912,3950000,0,5,48243
455,渡辺 智也,32,男,公務員,東京都23区,35.54994,139.73161,4860000,0,5,29663
456,斎藤 蓮,52,男,ITエンジニア,東京都23区,35.72381,139.7758,7350000,1,5,52346
457,吉田 達也,32,男,公務員,東京都23区,35.66251,139.73306,9570000,0,6,52390
458,鈴木 陽翔_458,69,男,飲食店,茨城県,35.96327,140.04117,1420000,0,2,5865
459,佐々木 雄太,36,男,工場勤務,東京都23区,35.69966,139.63522,6410000,0,6,13202
460,清水 美穂,68,女,退職,群馬県,36.40331,139.06646,1670000,0,2,8080
461,佐藤 樹,43,男,主婦・主夫,神奈川県,35.55338,139.51707,2490000,0,4,14082
462,石川 美穂,37,女,会社員,神奈川県,35.3192,139.48453,6040000,0,6,17787
463,佐藤 雄太,45,男,看護師,東京都市部,35.63553,139.43827,5310000,0,6,8552
464,山田 結愛,26,女,教員,埼玉県,35.9127,139.59441,3570000,0,5,22979
465,前田 蓮,23,男,販売員,茨城県,36.18615,140.28962,2430000,0,4,16402
466,吉田 芽依,51,女,会社員,神奈川県,35.50867,139.61896,5020000,0,7,24951
467,山田 凛,42,女,会社員,茨城県,36.07332,140.20343,7170000,0,6,36548
468,佐々木 桜,32,女,看護師,東京都市部,35.73819,139.47982,5030000,0,6,16272
469,藤田 雄太,74,男,主婦・主夫,東京都23区,35.79191,139.79947,1140000,0,2,6854
470,中村 結衣,29,女,主婦・主夫,埼玉県,35.8692,139.6205,800000,0,2,2770
471,中村 結衣_471,32,女,会社員,神奈川県,35.53476,139.44899,3500000,0,5,10022
472,林 心春,70,女,退職,神奈川県,35.51342,139.68582,1590000,0,2,1926
473,小林 葵,58,女,会社員,茨城県,35.93567,139.96528,3970000,0,5,12950
474,山崎 麻衣_474,43,女,飲食店,東京都23区,35.55174,139.71809,2640000,0,4,3811
475,木村 翼_475,32,男,会社員,東京都市部,35.55427,139.43526,6380000,0,5,25310
476,前田 浩二,19,男,大学生,千葉県,35.69858,140.01774,800000,0,2,26674
477,橋本 陽翔,51,男,ITエンジニア,東京都23区,35.7111,139.86156,7390000,1,7,20189
478,斎藤 彩花,45,女,主婦・主夫,東京都23区,35.72547,139.78689,1440000,0,2,2480
479,石川 結衣_479,53,女,会社員,神奈川県,35.40871,139.48026,4240000,0,5,11746
480,山本 貴志,77,男,退職,東京都23区,35.60331,139.7266,2350000,0,2,2990
481,佐々木 彩花,53,女,会社員,栃木県,36.38667,139.72398,4200000,0,5,10910
482,田中 陽翔,66,男,退職,東京都市部,35.71989,139.45536,1990000,0,2,5333
483,橋本 彩花,47,女,工場勤務,東京都23区,35.68697,139.71595,5080000,0,6,17455
484,伊藤 由美,59,女,会社員,東京都23区,35.73825,139.6492,8800000,0,4,8678
485,吉田 綾,43,女,主婦・主夫,東京都23区,35.69756,139.87936,1610000,0,4,12080
486,吉田 千尋_486,53,女,パート,神奈川県,35.39643,139.46411,1990000,0,4,8714
487,渡辺 桜_487,47,女,工場勤務,千葉県,35.85849,139.964,4580000,0,5,12046
488,佐藤 千尋,73,女,工場勤務,東京都23区,35.7634,139.8477,5020000,0,2,26849
489,小林 京子,49,女,会社員,千葉県,35.6211,140.09752,3710000,0,5,18457
490,後藤 芽依,68,女,退職,埼玉県,36.16271,139.38903,2290000,0,2,8661
491,山田 健太,56,男,会社員,神奈川県,35.56662,139.52119,4690000,0,5,14405
492,後藤 ハル,54,女,会社員,東京都23区,35.65185,139.6783,6600000,0,5,9464
493,森 誠_493,49,男,会社員,東京都23区,35.70723,139.87321,4570000,0,5,12101
494,吉田 陽菜_494,46,女,主婦・主夫,神奈川県,35.46854,139.62565,3260000,0,5,9631
495,小林 凛,27,女,販売員,東京都市部,35.72876,139.54849,2550000,0,4,43557
496,中村 陽菜,61,女,会社員,東京都23区,35.78675,139.79242,1730000,0,2,2632
497,佐々木 誠,72,男,飲食店,東京都23区,35.73862,139.71838,3110000,0,2,11176
498,伊藤 雅人,62,男,工場勤務,千葉県,35.63263,140.08936,2840000,0,2,8970
499,橋本 克彦,56,男,飲食店,千葉県,35.61199,140.13026,4860000,0,5,12054
500,中村 莉子_500,71,女,主婦・主夫,茨城県,36.09301,140.20117,1510000,0,2,4642
501,藤田 悦子_501,42,女,会社員,東京都23区,35.73643,139.66571,3670000,0,5,16808
502,鈴木 美穂_502,50,女,会社員,埼玉県,36.13972,139.38682,3490000,0,5,10225
503,山本 節子,68,女,工場勤務,千葉県,35.72926,139.9299,3480000,0,2,4430
504,後藤 心春,44,女,主婦・主夫,東京都市部,35.63665,139.45702,2220000,0,4,14869
505,佐々木 美咲,57,女,飲食店,神奈川県,35.53448,139.44786,3920000,0,4,7331
506,加藤 芽依_506,77,女,工場勤務,東京都23区,35.6292,139.72735,5290000,0,2,3481
507,後藤 心春_507,53,女,フリーランス,群馬県,36.25838,139.0865,5790000,1,7,24929
508,斎藤 亮_508,47,男,ITエンジニア,千葉県,35.96416,139.87979,8120000,1,8,40627
509,林 義男,20,男,パート,埼玉県,35.7791,139.58751,880000,0,2,12517
510,伊藤 結衣,35,女,会社員,千葉県,35.64,140.10142,4850000,0,5,28206
511,田中 浩二,47,男,会社員,東京都23区,35.64634,139.65853,3570000,0,5,13960
512,長谷川 湊,20,男,大学生,茨城県,36.29977,139.9894,800000,0,2,3721
513,長谷川 莉子,71,女,主婦・主夫,東京都市部,35.67362,139.49094,1870000,0,2,3348
514,長谷川 京子,66,女,飲食店,神奈川県,35.30693,139.56689,6200000,0,2,4276
515,高橋 誠,43,男,会社員,東京都23区,35.6929,139.62988,8090000,0,7,10257
516,岡田 芽依_516,42,女,会社員,千葉県,35.8442,139.97563,7290000,0,6,18291
517,長谷川 彩花_517,19,女,販売員,東京都市部,35.71245,139.57191,1390000,0,2,13200
518,山崎 颯太,24,男,会社員,神奈川県,35.52007,139.69447,4130000,0,5,47490
519,田中 芽依,52,女,会社員,千葉県,35.78356,139.89859,8300000,0,7,57601
520,岡田 綾,45,女,販売員,千葉県,35.60287,140.13018,6100000,0,6,12271
521,渡辺 葵,69,女,退職,東京都23区,35.72084,139.87466,3250000,0,2,4453
522,山崎 雄太,22,男,大学生,埼玉県,35.93579,139.61622,1000000,0,2,3518
523,松本 孝雄_523,40,男,会社員,東京都23区,35.66063,139.63723,2560000,0,4,31762
524,山崎 雄太_524,64,男,フリーランス,栃木県,36.3292,139.45098,2810000,1,2,1844
525,渡辺 亮_525,44,男,主婦・主夫,東京都23区,35.66739,139.81437,1630000,0,4,5002
526,藤田 凛_526,55,女,主婦・主夫,茨城県,36.36648,140.47735,1700000,0,4,12198
527,田中 蓮_527,33,男,フリーランス,神奈川県,35.57519,139.56903,5030000,1,6,40868
528,佐々木 美咲_528,68,女,工場勤務,栃木県,36.29801,139.604,5830000,0,2,5280
529,加藤 彩,49,女,教員,東京都23区,35.77839,139.81359,3730000,0,5,11474
530,山口 亮_530,29,男,販売員,神奈川県,35.51301,139.67639,2240000,0,4,38184
531,橋本 由美_531,78,女,飲食店,東京都23区,35.73618,139.65919,3290000,0,2,4813
532,山崎 浩二,25,男,会社員,東京都23区,35.74024,139.72022,6530000,0,6,43996
533,山崎 貴志_533,45,男,会社員,東京都23区,35.71479,139.63322,3700000,0,5,10608
534,森 陽翔,74,男,工場勤務,栃木県,36.56381,139.88405,4310000,0,2,1882
535,佐々木 千尋,67,女,退職,東京都市部,35.73008,139.55325,1760000,0,2,6930
536,佐々木 樹,41,男,会社員,東京都23区,35.71797,139.71766,6180000,0,5,9645
537,森 克彦,18,男,大学生,神奈川県,35.41573,139.5127,800000,0,2,10375
538,池田 悠人,21,男,大学生,栃木県,36.86759,139.99946,840000,0,2,8588
539,石川 彩_539,22,女,大学生,東京都23区,35.55024,139.71356,800000,0,2,1092
540,木村 京子,27,女,販売員,東京都23区,35.75496,139.66201,1880000,0,4,28070
541,斎藤 美咲,21,女,販売員,神奈川県,35.51268,139.69045,1620000,0,4,17371
542,高橋 凛,21,女,大学生,東京都23区,35.65796,139.68394,800000,0,2,3290
543,佐藤 蓮,54,男,ITエンジニア,千葉県,35.86807,139.97496,8230000,1,6,54486
544,山本 芽依,72,女,主婦・主夫,東京都23区,35.72101,139.63386,1220000,0,2,6440
545,山崎 正樹,62,男,会社員,神奈川県,35.3195,139.53737,4580000,0,2,3163
546,山本 結衣,52,女,ITエンジニア,東京都市部,35.65434,139.3049,11370000,1,6,8047
547,松本 美穂,49,女,主婦・主夫,埼玉県,35.79791,139.56768,1540000,0,4,10543
548,岡田 達也,35,男,会社員,神奈川県,35.25949,139.1806,5410000,0,6,52688
549,加藤 孝雄_549,61,男,飲食店,東京都23区,35.71269,139.65297,2980000,0,2,3757
550,森 智子,59,女,教員,東京都23区,35.77207,139.81542,8270000,0,5,8273
551,吉田 京子,58,女,看護師,群馬県,36.39099,139.06733,9800000,0,4,33752
552,森 心春_552,73,女,主婦・主夫,群馬県,36.29554,139.18201,1580000,0,2,4334
553,加藤 大翔,40,男,販売員,東京都23区,35.75183,139.69046,3390000,0,5,12828
554,山崎 克彦,30,男,公務員,埼玉県,35.92446,139.6195,9340000,0,5,44030
555,池田 綾_555,49,女,公務員,群馬県,36.29397,139.37618,6910000,0,6,11567
556,林 綾,73,女,飲食店,埼玉県,35.89583,139.62396,2370000,0,2,1958
557,中村 義男_557,55,男,看護師,東京都23区,35.74349,139.62728,4930000,0,4,9794
558,岡田 莉子,47,女,教員,東京都市部,35.526,139.44307,5260000,0,5,10908
559,木村 陽菜_559,75,女,退職,群馬県,36.40098,139.32766,3010000,0,2,1843
560,井上 京子_560,66,女,退職,埼玉県,35.8971,139.7929,2250000,0,2,5506
561,山崎 綾_561,20,女,大学生,埼玉県,35.78314,139.57538,800000,0,2,1174
562,後藤 義男_562,65,男,主婦・主夫,栃木県,36.31601,139.78958,800000,0,2,5280
563,木村 正樹_563,55,男,会社員,東京都市部,35.77917,139.27472,7820000,0,7,49825
564,岡田 綾_564,37,女,飲食店,神奈川県,35.51829,139.619,3840000,0,5,12413
565,山口 綾,44,女,会社員,東京都23区,35.7533,139.84151,6690000,0,7,45959
566,橋本 健太,24,男,会社員,東京都23区,35.73475,139.64866,2260000,0,4,15529
567,中村 芽依,61,女,主婦・主夫,東京都23区,35.7364,139.71402,1420000,0,2,4373
568,森 達也_568,53,男,会社員,神奈川県,35.55281,139.55565,6290000,0,3,12719
569,山崎 義男,68,男,主婦・主夫,東京都23区,35.55881,139.73479,1280000,0,2,8989
570,山田 蓮_570,48,男,会社員,神奈川県,35.5812,139.54827,2780000,0,4,4549
571,加藤 節子,74,女,工場勤務,神奈川県,35.57971,139.54771,4340000,0,2,6698
572,木村 京子_572,36,女,主婦・主夫,東京都23区,35.69634,139.64456,1140000,0,2,5528
573,岡田 京子,45,女,会社員,埼玉県,35.91347,139.6278,4600000,0,5,21679
574,山本 陽菜,72,女,退職,埼玉県,35.91839,139.4807,2310000,0,2,6459
575,山田 雄太,77,男,主婦・主夫,千葉県,35.72328,139.93749,1800000,0,2,2780
576,松本 和也_576,77,男,主婦・主夫,東京都23区,35.71914,139.75165,1050000,0,2,6280
577,高橋 ハル,49,女,飲食店,東京都23区,35.71549,139.86352,2920000,0,4,5539
578,森 達也_578,66,男,退職,群馬県,36.32149,139.02211,2650000,0,2,3865
579,吉田 京子_579,75,女,主婦・主夫,東京都23区,35.74897,139.69528,1380000,0,2,1634
580,長谷川 莉子_580,51,女,会社員,千葉県,35.84949,139.96025,9300000,0,6,42065
581,高橋 杏,38,女,看護師,東京都23区,35.6471,139.66222,4860000,0,5,30259
582,高橋 蓮,19,男,大学生,栃木県,36.55516,139.74222,800000,0,2,3699
583,木村 麻衣_583,22,女,大学生,千葉県,35.85518,139.97079,800000,0,2,4033
584,山口 颯太,46,男,会社員,群馬県,36.38711,139.05914,6220000,0,6,45391
585,山口 正樹_585,40,男,デザイナー,東京都23区,35.65835,139.81766,3960000,1,5,12537
586,山田 義男,76,男,パート,東京都23区,35.71023,139.65412,1370000,0,2,4772
587,石川 千尋,62,女,主婦・主夫,群馬県,36.30586,139.18929,1410000,0,2,3324
588,中村 結愛,79,女,パート,東京都23区,35.73728,139.86054,1600000,0,2,4025
589,佐々木 節子,24,女,主婦・主夫,埼玉県,35.94568,139.62371,800000,0,2,10180
590,高橋 湊,27,男,会社員,神奈川県,35.34514,139.47684,3570000,0,5,28270
591,清水 陽翔,29,男,会社員,埼玉県,35.96358,139.63658,2750000,0,4,24381
592,橋本 芽依,42,女,主婦・主夫,千葉県,35.78598,139.91218,1050000,0,2,7980
593,渡辺 理恵_593,50,女,主婦・主夫,埼玉県,35.93861,139.4606,2640000,0,4,7216
594,木村 翼_594,38,男,デザイナー,群馬県,36.39396,139.06019,5710000,1,7,14854
595,石川 節子,79,女,飲食店,東京都23区,35.70759,139.85786,1550000,0,2,4839
596,井上 結愛,55,女,経営者・役員,神奈川県,35.57687,139.37343,24240000,0,4,36872
597,前田 杏,50,女,会社員,東京都23区,35.76369,139.7345,4680000,0,5,10276
598,橋本 彩_598,43,女,看護師,埼玉県,35.78806,139.58944,4470000,0,5,12185
599,前田 颯太,21,男,大学生,群馬県,36.30481,139.18204,800000,0,2,4012
600,木村 麻衣_600,41,女,主婦・主夫,栃木県,36.37151,139.73183,1430000,0,2,6793
601,林 浩二_601,36,男,飲食店,東京都市部,35.54143,139.4503,3810000,0,5,39611
602,伊藤 雅人_602,38,男,販売員,東京都市部,35.67898,139.44217,3780000,0,5,10567
603,後藤 拓海_603,63,男,ITエンジニア,埼玉県,35.87882,139.765,6210000,1,2,2895
604,山本 桜_604,55,女,会社員,神奈川県,35.58749,139.5821,4890000,0,5,15431
605,井上 悠人,35,男,会社員,埼玉県,35.98458,139.59003,4030000,0,4,8295
606,山本 美咲,77,女,工場勤務,埼玉県,35.806,139.81278,2940000,0,3,10511
607,渡辺 亮_607,68,男,飲食店,栃木県,36.39108,139.73256,2110000,0,2,4693
608,山本 杏,79,女,パート,神奈川県,35.6244,139.52399,2530000,0,2,7546
609,長谷川 結愛,23,女,主婦・主夫,東京都23区,35.6751,139.68967,1020000,0,2,10714
610,高橋 杏_610,41,女,会社員,東京都23区,35.73704,139.65006,3110000,0,5,30401
611,山崎 孝雄,65,男,工場勤務,千葉県,35.69482,140.03493,3130000,0,2,3940
612,鈴木 拓海,62,男,教員,神奈川県,35.4254,139.46739,5630000,0,2,4340
613,斎藤 和也_613,44,男,会社員,神奈川県,35.49233,139.63185,6910000,0,6,37313
614,藤田 京子,47,女,会社員,栃木県,36.86278,140.01845,4070000,0,5,10497
615,山崎 正樹_615,78,男,退職,東京都23区,35.74678,139.73927,1860000,0,2,4216
616,後藤 蓮,68,男,主婦・主夫,茨城県,36.18662,140.27839,1220000,0,2,5480
